"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","birthdate","gender","emailaddress","addressline1","datefirstpurchase","commutedistance","stateprovincecode","stateprovincename","countryregioncode","englishcountryregionname","postalcode","salesterritorykey","ipaddresslocator"
19560,10,"AW00019560","Randall","B","Martin","1981-04-23","M","randall1@adventure-works.com","1042 Hooftrail Way","2020-08-07","2-5 Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
19561,5,"AW00019561","Orlando",NULL,"Serrano","1975-11-17","M","orlando16@adventure-works.com","5439 Mcelroy Court","2020-08-11","2-5 Miles","NSW","New South Wales","AU","Australia","1597",9,"198.51.100.6"
19562,9,"AW00019562","Leah","R","Guo","1974-03-22","F","leah14@adventure-works.com","4251 San Onofre Court","2020-08-01","2-5 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
19563,32,"AW00019563","Robin",NULL,"Moreno","1974-04-15","F","robin3@adventure-works.com","7362 Arguello Blvd.","2020-08-23","2-5 Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
19564,7,"AW00019564","Lawrence","M","Gutierrez","1979-12-12","M","lawrence9@adventure-works.com","1939 Meadow Glen Way","2020-08-23","0-1 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.8"
19565,33,"AW00019565","Patricia","J","Saunders","1984-08-02","F","patricia14@adventure-works.com","4908 Chickpea Ct.","2020-08-03","0-1 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
19566,25,"AW00019566","Ruben","A","Sara","1973-08-04","M","ruben11@adventure-works.com","4140 Delta View Ln.","2022-05-18","10+ Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
19567,17,"AW00019567","Barbara",NULL,"Hu","1972-12-10","F","barbara29@adventure-works.com","3008 Brookdale Dr.","2022-03-27","10+ Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
19568,12,"AW00019568","Candice","A","Sun","1975-03-06","F","candice19@adventure-works.com","7427 Terra Catalina","2020-08-01","2-5 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
19569,28,"AW00019569","Kellie",NULL,"Torres","1978-12-09","F","kellie10@adventure-works.com","3591 Pepperidge Way","2022-08-17","10+ Miles","SA","South Australia","AU","Australia","6105",9,"198.51.100.29"
19570,7,"AW00019570","Kristy","J","Navarro","1972-11-10","F","kristy9@adventure-works.com","3663 A St.","2022-02-11","0-1 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.8"
19571,19,"AW00019571","Sydney",NULL,"Johnson","1978-08-09","F","sydney65@adventure-works.com","7341 Rockne Drive","2022-03-16","0-1 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
19572,21,"AW00019572","Melissa","C","Bailey","1978-04-17","F","melissa38@adventure-works.com","7906 Clear","2022-04-09","0-1 Miles","QLD","Queensland","AU","Australia","4551",9,"198.51.100.22"
19573,23,"AW00019573","Deanna","T","Rubio","1978-11-10","F","deanna47@adventure-works.com","2935 Pine Creek Way","2022-12-25","0-1 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
19574,32,"AW00019574","Michele","J","Ramos","1971-08-10","F","michele51@adventure-works.com","8957 Madhatter Circle","2022-04-20","0-1 Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
19575,19,"AW00019575","Marco","L","Patel","1983-02-20","M","marco3@adventure-works.com","6850 Monument Blvd.","2022-03-07","0-1 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
19576,31,"AW00019576","Mackenzie",NULL,"Hill","1971-07-20","F","mackenzie33@adventure-works.com","5144 Alvecedo","2020-08-11","0-1 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
19577,37,"AW00019577","Martin",NULL,"Perez","1977-08-16","M","martin5@adventure-works.com","5238 Jemco Court","2020-08-24","0-1 Miles","VIC","Victoria","AU","Australia","3198",9,"198.51.100.38"
19578,17,"AW00019578","Max","L","Rubio","1971-02-11","M","max19@adventure-works.com","7874 Jones Lane","2022-07-04","2-5 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
19579,18,"AW00019579","Dawn","F","Zheng","1971-02-24","F","dawn21@adventure-works.com","6400 Sunshine Drive","2022-10-24","2-5 Miles","NSW","New South Wales","AU","Australia","1002",9,"198.51.100.19"
19580,12,"AW00019580","Eddie","A","Sanz","1971-03-04","M","eddie20@adventure-works.com","7228 Sierra Ridge","2022-04-04","5-10 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
19581,35,"AW00019581","Todd",NULL,"Ma","1970-08-08","M","todd15@adventure-works.com","3625 Pinehurst Court","2022-09-19","10+ Miles","VIC","Victoria","AU","Australia","3000",9,"198.51.100.36"
19582,20,"AW00019582","Bethany",NULL,"Luo","1974-03-25","F","bethany9@adventure-works.com","6868 Firestone","2022-11-14","10+ Miles","QLD","Queensland","AU","Australia","4000",9,"198.51.100.21"
19583,3,"AW00019583","Jake","L","Li","1973-11-12","M","jake3@adventure-works.com","5642 La Orinda Pl","2022-05-18","10+ Miles","NSW","New South Wales","AU","Australia","2010",9,"198.51.100.4"
19584,23,"AW00019584","Terrance",NULL,"Sanchez","1979-05-05","M","terrance18@adventure-works.com","4050 Canyon Road","2022-02-05","5-10 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
19585,31,"AW00019585","Kristi",NULL,"Fernandez","1974-05-14","F","kristi33@adventure-works.com","8292 Ferndale Lane","2022-08-12","5-10 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
19586,26,"AW00019586","Alvin","M","Sharma","1973-12-04","M","alvin32@adventure-works.com","3945 Cedar St.","2020-08-20","5-10 Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
19587,39,"AW00019587","Alyssa",NULL,"Martin","1973-12-25","F","alyssa14@adventure-works.com","1276 Quartermaster","2022-04-14","0-1 Miles","VIC","Victoria","AU","Australia","3429",9,"198.51.100.40"
19588,40,"AW00019588","Raymond","R","Raman","1974-01-01","M","raymond14@adventure-works.com","7482 Melody","2020-08-07","1-2 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
19589,15,"AW00019589","Jake",NULL,"Huang","1970-03-07","M","jake6@adventure-works.com","2553 RaceCourt","2022-04-11","5-10 Miles","NSW","New South Wales","AU","Australia","2264",9,"198.51.100.16"
19590,26,"AW00019590","Martin","S","Subram","1980-09-16","M","martin18@adventure-works.com","6979 Euclid Ave.","2022-03-01","10+ Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
19591,40,"AW00019591","Derek","D","Raji","1969-08-31","M","derek19@adventure-works.com","2730 Dewing Lane","2022-04-24","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
19592,3,"AW00019592","Tara",NULL,"Xu","1974-02-21","F","tara5@adventure-works.com","2189 Alamo Way","2020-08-22","0-1 Miles","NSW","New South Wales","AU","Australia","2010",9,"198.51.100.4"
19593,22,"AW00019593","Carla","K","Rana","1969-04-12","F","carla13@adventure-works.com","5235 St Paul Way","2020-08-26","0-1 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
19594,26,"AW00019594","Suzanne",NULL,"Liu","1969-02-14","F","suzanne5@adventure-works.com","5963 Meadow Lane","2020-08-08","0-1 Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
19595,37,"AW00019595","Carl",NULL,"Raji","1968-09-12","M","carl20@adventure-works.com","4352 Marclair Dr.","2020-08-22","0-1 Miles","VIC","Victoria","AU","Australia","3198",9,"198.51.100.38"
19596,3,"AW00019596","Allen",NULL,"Fernandez","1974-05-07","M","allen14@adventure-works.com","5678 Arlington Way","2020-08-05","0-1 Miles","NSW","New South Wales","AU","Australia","2010",9,"198.51.100.4"
19597,9,"AW00019597","Jay",NULL,"Martin","1984-03-20","M","jay29@adventure-works.com","8384 Potomac Drive","2022-06-11","0-1 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
19598,18,"AW00019598","Kaitlyn",NULL,"Powell","1973-12-05","F","kaitlyn75@adventure-works.com","9032 Santa Fe","2020-08-09","5-10 Miles","NSW","New South Wales","AU","Australia","1002",9,"198.51.100.19"
19599,29,"AW00019599","Alvin",NULL,"Jai","1972-02-01","M","alvin33@adventure-works.com","9720 Morning Glory Dr.","2020-08-19","0-1 Miles","SA","South Australia","AU","Australia","5023",9,"198.51.100.30"
19600,8,"AW00019600","Lacey",NULL,"Andersen","1967-02-11","F","lacey3@adventure-works.com","8141 Mitchell Canyon Road","2022-04-20","5-10 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
19601,24,"AW00019601","Alfredo",NULL,"Suarez","1966-07-17","M","alfredo20@adventure-works.com","27 Elkwood Dr.","2020-08-22","0-1 Miles","QLD","Queensland","AU","Australia","4171",9,"198.51.100.25"
19602,8,"AW00019602","Stanley",NULL,"Madan","1971-10-09","M","stanley8@adventure-works.com","8521 Knewal Rd","2020-08-24","2-5 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
19603,8,"AW00019603","Tabitha","L","Hernandez","1972-05-18","F","tabitha23@adventure-works.com","7368 South Royal Links","2022-03-27","5-10 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
19604,11,"AW00019604","Wendy","J","Blanco","1972-03-05","F","wendy14@adventure-works.com","991 Vista Verde","2022-03-30","5-10 Miles","NSW","New South Wales","AU","Australia","2113",9,"198.51.100.12"
19605,17,"AW00019605","Brad","H","Shan","1971-11-24","M","brad10@adventure-works.com","4649 Peachwillow","2020-08-19","0-1 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
19606,25,"AW00019606","Gabriel",NULL,"Parker","1937-11-20","M","gabriel30@adventure-works.com","2639 Tono Lane","2022-03-23","5-10 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
19607,21,"AW00019607","Troy","R","Subram","1970-08-21","M","troy14@adventure-works.com","7779 Lake Meadow Circle","2020-08-06","5-10 Miles","QLD","Queensland","AU","Australia","4551",9,"198.51.100.22"
19608,9,"AW00019608","Harold",NULL,"Prasad","1982-04-23","M","harold6@adventure-works.com","8784 Detroit Ave.","2022-07-07","1-2 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
19609,34,"AW00019609","Kari",NULL,"Martinez","1969-12-20","F","kari18@adventure-works.com","3416 Ravenwood Drive","2020-08-25","0-1 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
19610,2,"AW00019610","Deborah",NULL,"Andersen","1970-06-19","F","deborah17@adventure-works.com","6002 Hickory Drive","2022-04-30","5-10 Miles","NSW","New South Wales","AU","Australia","2450",9,"198.51.100.3"
19611,2,"AW00019611","Meagan",NULL,"Prasad","1969-04-13","F","meagan9@adventure-works.com","5302 Argonne Drive","2020-08-21","0-1 Miles","NSW","New South Wales","AU","Australia","2450",9,"198.51.100.3"
19612,25,"AW00019612","Marvin",NULL,"Sanz","1974-02-22","M","marvin20@adventure-works.com","5064 South Villa Way","2020-08-10","0-1 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
19613,26,"AW00019613","Ruben",NULL,"Garcia","1980-03-15","M","ruben16@adventure-works.com","2081 Elkwood Drive","2020-08-01","5-10 Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
19614,27,"AW00019614","Wyatt","E","Williams","1969-01-31","M","wyatt2@adventure-works.com","6284 Romero Circle","2020-08-22","0-1 Miles","QLD","Queensland","AU","Australia","4810",9,"198.51.100.28"
19615,4,"AW00019615","Franklin",NULL,"Sun","1973-11-29","M","franklin12@adventure-works.com","3925 North 39th Street","2020-08-26","5-10 Miles","NSW","New South Wales","AU","Australia","2580",9,"198.51.100.5"
19616,31,"AW00019616","Stefanie","K","Rana","1967-12-02","F","stefanie8@adventure-works.com","1544 Quiz Street","2020-08-26","0-1 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
19617,9,"AW00019617","Keith",NULL,"Nath","1973-03-12","M","keith22@adventure-works.com","8005 Water St.","2022-08-17","5-10 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
19618,27,"AW00019618","Ross",NULL,"Johnsen","1967-11-07","M","ross26@adventure-works.com","5041 Stillwater Court","2022-07-07","0-1 Miles","QLD","Queensland","AU","Australia","4810",9,"198.51.100.28"
19619,40,"AW00019619","Eduardo",NULL,"Morris","1968-05-10","M","eduardo85@adventure-works.com","4721 Barberry Court","2022-03-05","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
19620,4,"AW00019620","Andy",NULL,"Vazquez","1972-11-12","M","andy19@adventure-works.com","6490 El Camino","2020-09-22","5-10 Miles","NSW","New South Wales","AU","Australia","2580",9,"198.51.100.5"
19621,27,"AW00019621","Mariah","H","Barnes","1963-12-04","F","mariah7@adventure-works.com","5583 Garland Dr","2020-09-17","0-1 Miles","QLD","Queensland","AU","Australia","4810",9,"198.51.100.28"
19622,5,"AW00019622","Roger",NULL,"Yuan","1964-06-24","M","roger34@adventure-works.com","3290 Lakewood Court","2022-06-05","5-10 Miles","NSW","New South Wales","AU","Australia","1597",9,"198.51.100.6"
19623,10,"AW00019623","Cristina","D","Tang","1964-05-09","F","cristina4@adventure-works.com","7223 Brush Creek Court","2022-06-05","0-1 Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
19624,14,"AW00019624","Wesley","L","Zhu","1962-07-09","M","wesley14@adventure-works.com","2553 Croyden Dr.","2022-08-26","5-10 Miles","NSW","New South Wales","AU","Australia","2138",9,"198.51.100.15"
19625,24,"AW00019625","Ivan","C","Gonzalez","1973-09-12","M","ivan15@adventure-works.com","9897 East L Street","2022-03-30","5-10 Miles","QLD","Queensland","AU","Australia","4171",9,"198.51.100.25"
19626,4,"AW00019626","Bradley",NULL,"Anand","1971-10-05","M","bradley24@adventure-works.com","4346 Via Rerrari","2022-07-13","5-10 Miles","NSW","New South Wales","AU","Australia","2580",9,"198.51.100.5"
19627,30,"AW00019627","Kari",NULL,"Blanco","1965-08-03","F","kari36@adventure-works.com","6879 Winthrop St.","2022-02-25","10+ Miles","SA","South Australia","AU","Australia","6006",9,"198.51.100.31"
19628,40,"AW00019628","Holly","B","Martinez","1962-05-07","F","holly17@adventure-works.com","9959 Edwards Ave.","2020-08-31","0-1 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
19629,22,"AW00019629","Theresa","L","Carlson","1961-08-13","F","theresa14@adventure-works.com","7711 Fieldcrest Dr.","2022-04-01","5-10 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
19630,25,"AW00019630","Jodi","E","Raje","1962-03-13","F","jodi14@adventure-works.com","6004 Peabody Road","2022-05-23","5-10 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
19631,2,"AW00019631","Timothy",NULL,"Scott","1964-03-22","M","timothy37@adventure-works.com","1226 Linden Lane","2020-09-22","0-1 Miles","NSW","New South Wales","AU","Australia","2450",9,"198.51.100.3"
19632,10,"AW00019632","Lawrence",NULL,"Vazquez","1955-04-22","M","lawrence13@adventure-works.com","3409 Meadowbrook Court","2022-02-21","5-10 Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
19633,325,"AW00019633","Destiny","B","Gray","1982-02-21","F","destiny41@adventure-works.com","8420 Dayton Court","2022-06-15","5-10 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
19634,307,"AW00019634","Gregory",NULL,"Nath","1980-10-08","M","gregory22@adventure-works.com","3505 Graham St.","2022-09-19","5-10 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
19635,536,"AW00019635","Dawn","J","Shan","1982-04-27","F","dawn34@adventure-works.com","7895 Stanley Dollar Dr.","2022-11-26","5-10 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
19636,536,"AW00019636","Jessica",NULL,"Lee","1982-05-17","F","jessica70@adventure-works.com","6594 Bent Tree Lane","2022-09-02","5-10 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
19637,609,"AW00019637","Eduardo","F","Long","1982-01-04","M","eduardo54@adventure-works.com","396 North Ridge Dr.","2022-08-23","0-1 Miles","WA","Washington","US","United States","98225",1,"203.0.113.102"
19638,552,"AW00019638","Kimberly","P","Peterson","1986-04-25","F","kimberly8@adventure-works.com","6026 Lacanda Ct","2022-12-26","0-1 Miles","OR","Oregon","US","United States","97068",1,"203.0.113.45"
19639,307,"AW00019639","Victor",NULL,"Gill","1985-09-12","M","victor14@adventure-works.com","9775 Redrock Drive","2022-02-14","5-10 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
19640,60,"AW00019640","Richard","T","Walker","1986-03-17","M","richard17@adventure-works.com","6088 Gonzalez Court","2022-06-27","5-10 Miles","BC","British Columbia","CA","Canada","V6B 3P7",6,"198.51.100.61"
19641,542,"AW00019641","Richard",NULL,"Evans","1985-09-18","M","richard37@adventure-works.com","4155 Working Drive","2022-04-13","5-10 Miles","OR","Oregon","US","United States","97034",1,"203.0.113.35"
19642,52,"AW00019642","Kaylee",NULL,"Evans","1984-09-05","F","kaylee20@adventure-works.com","311 Wolf Way","2022-04-20","5-10 Miles","BC","British Columbia","CA","Canada","V3A 4R2",6,"198.51.100.53"
19643,547,"AW00019643","Jacqueline","F","Watson","1984-06-21","F","jacqueline24@adventure-works.com","3882 Upland Dr","2022-02-17","5-10 Miles","OR","Oregon","US","United States","97205",1,"203.0.113.40"
19644,307,"AW00019644","Gloria",NULL,"Gill","1983-03-20","F","gloria14@adventure-works.com","5126 La Corte Bonita","2022-09-11","5-10 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
19645,60,"AW00019645","Carlos",NULL,"Rogers","1982-07-18","M","carlos22@adventure-works.com","9725 C Olivera Rd","2022-04-04","0-1 Miles","BC","British Columbia","CA","Canada","V6B 3P7",6,"198.51.100.61"
19646,53,"AW00019646","Ian",NULL,"Lee","1985-01-01","M","ian20@adventure-works.com","2190 Rock Creek Way","2022-11-04","5-10 Miles","BC","British Columbia","CA","Canada","V9",6,"198.51.100.54"
19647,57,"AW00019647","Hailey",NULL,"Sanders","1985-04-16","F","hailey20@adventure-works.com","2436 Pheasant Cr.","2022-05-10","5-10 Miles","BC","British Columbia","CA","Canada","V2M1P1",6,"198.51.100.58"
19648,62,"AW00019648","Lauren","A","Hall","1985-04-02","F","lauren42@adventure-works.com","7989 Pinehurst Court","2022-05-04","5-10 Miles","BC","British Columbia","CA","Canada","V8X",6,"198.51.100.63"
19649,623,"AW00019649","Elizabeth","L","Martin","1985-02-22","F","elizabeth18@adventure-works.com","6271 Ironwood Way","2022-09-25","5-10 Miles","WA","Washington","US","United States","98033",1,"203.0.113.116"
19650,22,"AW00019650","Sabrina","A","Sanz","1944-10-24","F","sabrina14@adventure-works.com","5331 Buskrik Avenue","2022-12-15","0-1 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
19651,12,"AW00019651","Jarrod","C","Perez","1945-05-13","M","jarrod20@adventure-works.com","8937 Two Bay Road","2023-01-05","5-10 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
19652,36,"AW00019652","Douglas","W","Rodriguez","1948-05-15","M","douglas23@adventure-works.com","3509 Hanson Lane","2020-09-25","5-10 Miles","VIC","Victoria","AU","Australia","3337",9,"198.51.100.37"
19653,27,"AW00019653","Tina",NULL,"Gonzalez","1947-09-12","F","tina20@adventure-works.com","7943 Altura Drive","2020-09-19","5-10 Miles","QLD","Queensland","AU","Australia","4810",9,"198.51.100.28"
19654,543,"AW00019654","Richard","M","Alexander","1981-10-15","M","richard74@adventure-works.com","6406 Golden Leaf Way","2022-06-29","1-2 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
19655,383,"AW00019655","Cindy","M","Murphy","1982-05-14","F","cindy24@adventure-works.com","5508 Trembath Court","2022-05-17","1-2 Miles","CA","California","US","United States","91791",4,"192.0.2.130"
19656,326,"AW00019656","Sydney",NULL,"Travers","1980-02-20","F","sydney14@adventure-works.com","3365 Atherton Circle","2022-08-29","5-10 Miles","CA","California","US","United States","91941",4,"192.0.2.73"
19657,635,"AW00019657","Emily",NULL,"Griffin","1977-09-19","F","emily46@adventure-works.com","7034 Petarct","2022-06-22","0-1 Miles","WA","Washington","US","United States","98055",1,"203.0.113.128"
19658,361,"AW00019658","Dylan","W","Russell","1973-10-02","M","dylan19@adventure-works.com","2763 Pass","2022-06-16","1-2 Miles","CA","California","US","United States","91776",4,"192.0.2.108"
19687,345,"AW00019687","Connor",NULL,"Coleman","1969-11-29","M","connor2@adventure-works.com","4211 Eastgate Avenue","2022-05-30","0-1 Miles","CA","California","US","United States","92625",4,"192.0.2.92"
19659,337,"AW00019659","Wyatt",NULL,"Robinson","1974-11-18","M","wyatt19@adventure-works.com","735 S. 39th Street","2022-06-16","5-10 Miles","CA","California","US","United States","90802",4,"192.0.2.84"
19660,368,"AW00019660","Devin",NULL,"Hill","1968-08-03","M","devin27@adventure-works.com","5560 Hanover St.","2022-05-29","0-1 Miles","CA","California","US","United States","95062",4,"192.0.2.115"
19661,53,"AW00019661","Nathaniel","A","Cox","1973-08-24","M","nathaniel11@adventure-works.com","4866 Sequoia Woods Pl.","2022-11-11","1-2 Miles","BC","British Columbia","CA","Canada","V9",6,"198.51.100.54"
19662,59,"AW00019662","Lauren","E","Powell","1979-05-17","F","lauren56@adventure-works.com","1143 Julpum Loop","2022-07-25","1-2 Miles","BC","British Columbia","CA","Canada","V8P",6,"198.51.100.60"
19663,607,"AW00019663","Alex",NULL,"Allen","1985-05-11","M","alex46@adventure-works.com","4930 Augustine Drive","2022-08-25","0-1 Miles","WA","Washington","US","United States","98107",1,"203.0.113.100"
19664,547,"AW00019664","Ethan","A","Alexander","1979-07-14","M","ethan15@adventure-works.com","4038 Elk Dr","2022-12-22","1-2 Miles","OR","Oregon","US","United States","97205",1,"203.0.113.40"
19665,299,"AW00019665","Eduardo","C","Gonzales","1973-10-10","M","eduardo61@adventure-works.com","8178 Kendree St.","2022-11-08","1-2 Miles","CA","California","US","United States","94704",4,"192.0.2.46"
19666,31,"AW00019666","Hailey","C","Alexander","1950-06-05","F","hailey39@adventure-works.com","2614 Park Glen Ct.","2022-10-09","5-10 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
19667,38,"AW00019667","Billy","C","Carlson","1950-01-14","M","billy18@adventure-works.com","2354 Frayne Ln.","2022-11-19","1-2 Miles","VIC","Victoria","AU","Australia","3205",9,"198.51.100.39"
19668,612,"AW00019668","Erick","C","Patel","1984-04-10","M","erick2@adventure-works.com","7836 Roux Court","2022-12-18","1-2 Miles","WA","Washington","US","United States","98168",1,"203.0.113.105"
19669,638,"AW00019669","Hailey",NULL,"Hill","1983-10-25","F","hailey61@adventure-works.com","5587 Esperanza","2022-06-24","5-10 Miles","WA","Washington","US","United States","98284",1,"203.0.113.131"
19670,301,"AW00019670","Erik","S","Gutierrez","1983-09-13","M","erik11@adventure-works.com","9919 Macarthur Avenue","2022-03-13","5-10 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
19671,311,"AW00019671","Michael","B","Davis","1983-12-30","M","michael37@adventure-works.com","2144 San Rafael","2022-03-26","5-10 Miles","CA","California","US","United States","94519",4,"192.0.2.58"
19672,20,"AW00019672","Rosa","A","Zhao","1950-12-14","F","rosa11@adventure-works.com","545 Los Gatos Court","2022-10-22","1-2 Miles","QLD","Queensland","AU","Australia","4000",9,"198.51.100.21"
19673,11,"AW00019673","Mathew","A","Navarro","1950-08-13","M","mathew6@adventure-works.com","5941 Gill Dr.","2022-08-24","1-2 Miles","NSW","New South Wales","AU","Australia","2113",9,"198.51.100.12"
19674,26,"AW00019674","Casey","C","Deng","1951-03-27","F","casey1@adventure-works.com","6887 Deerberry Ct.","2022-10-01","5-10 Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
19675,33,"AW00019675","Dwayne","A","Gill","1951-09-07","M","dwayne13@adventure-works.com","4691 West Street","2022-09-10","5-10 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
19676,17,"AW00019676","Diana",NULL,"Gutierrez","1952-03-14","F","diana10@adventure-works.com","7323 Apple Drive","2022-05-20","1-2 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
19677,23,"AW00019677","Dylan",NULL,"Shan","1957-11-15","M","dylan30@adventure-works.com","1192 A St.","2022-04-19","1-2 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
19678,612,"AW00019678","Martin",NULL,"Rodriguez","1977-02-03","M","martin3@adventure-works.com","9752 Benita Way","2022-03-21","1-2 Miles","WA","Washington","US","United States","98168",1,"203.0.113.105"
19679,312,"AW00019679","Erick","C","Rana","1982-03-07","M","erick11@adventure-works.com","255 Mt. Orange Ct.","2022-03-10","1-2 Miles","CA","California","US","United States","92118",4,"192.0.2.59"
19680,543,"AW00019680","Jan",NULL,"King","1977-06-01","F","jan16@adventure-works.com","5220 Mountain Spring Rd.","2022-03-23","0-1 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
19681,50,"AW00019681","Morgan",NULL,"King","1983-09-06","F","morgan16@adventure-works.com","3610 Seal Way","2022-07-15","1-2 Miles","BC","British Columbia","CA","Canada","V2W 1W2",6,"198.51.100.51"
19682,623,"AW00019682","Eric",NULL,"Kumar","1978-02-04","M","eric36@adventure-works.com","4255 Detroit Ave","2022-03-14","0-1 Miles","WA","Washington","US","United States","98033",1,"203.0.113.116"
19683,545,"AW00019683","Marcus",NULL,"Parker","1977-07-06","M","marcus45@adventure-works.com","3478 Hillside Way","2022-03-01","0-1 Miles","OR","Oregon","US","United States","97222",1,"203.0.113.38"
19684,631,"AW00019684","Alexandra",NULL,"Lee","1975-08-31","F","alexandra86@adventure-works.com","7942 C Mt. Hood","2022-03-23","10+ Miles","WA","Washington","US","United States","98501",1,"203.0.113.124"
19685,300,"AW00019685","Brandy","C","Perez","1969-09-13","F","brandy17@adventure-works.com","993 Piedmont Dr.","2022-10-14","1-2 Miles","CA","California","US","United States","90210",4,"192.0.2.47"
19686,314,"AW00019686","Charles","D","Hernandez","1969-12-19","M","charles30@adventure-works.com","2245 Fairfield Ave","2022-08-13","0-1 Miles","CA","California","US","United States","94015",4,"192.0.2.61"
19688,352,"AW00019688","Timothy",NULL,"Baker","1961-08-11","M","timothy33@adventure-works.com","444 Northstar Drive","2022-07-09","0-1 Miles","CA","California","US","United States","94303",4,"192.0.2.99"
19689,641,"AW00019689","Elizabeth","E","Gonzales","1961-09-08","F","elizabeth45@adventure-works.com","6483 Crystal Ave.","2022-06-15","5-10 Miles","WA","Washington","US","United States","99202",1,"203.0.113.134"
19690,369,"AW00019690","Robert","C","White","1945-05-18","M","robert71@adventure-works.com","3269 Fourth St.","2022-06-04","1-2 Miles","CA","California","US","United States","90401",4,"192.0.2.116"
19691,638,"AW00019691","Gabriella",NULL,"Cox","1968-08-31","F","gabriella8@adventure-works.com","2559 Sequoia Woods Pl","2022-06-01","2-5 Miles","WA","Washington","US","United States","98284",1,"203.0.113.131"
19692,300,"AW00019692","Aaron",NULL,"Edwards","1969-05-14","M","aaron34@adventure-works.com","663 Contra Loma Blvd.","2022-06-02","1-2 Miles","CA","California","US","United States","90210",4,"192.0.2.47"
19693,68,"AW00019693","Kayla",NULL,"Foster","1968-06-26","F","kayla40@adventure-works.com","8421 St. Francis","2022-05-20","5-10 Miles","BC","British Columbia","CA","Canada","V7L 4J4",6,"198.51.100.69"
